,Marketing_name,Memory,Grade,Price
1224,iPhone 14 Plus,128GB,B,85300
1225,iPhone 13,128GB,B,60800
1226,iPhone 7 Plus,256GB,B,20500
1227,iPhone SE (第 3 世代),64GB,B,39800
1228,iPhone SE (第 3 世代),64GB,B,39800
1229,iPhone SE (第 3 世代),64GB,B,39800
1230,iPhone SE (第 3 世代),64GB,B,39800
1231,iPhone SE (第 3 世代),64GB,B,39800
1232,iPhone SE (第 3 世代),64GB,B,39800
1233,iPhone SE (第 3 世代),64GB,B,39800
1234,iPhone SE (第 3 世代),64GB,B,39800
1235,iPhone SE (第 3 世代),64GB,B,39800
1236,iPhone SE (第 3 世代),64GB,B,39800
1237,iPhone SE (第 3 世代),64GB,B,39800
1238,iPhone SE (第 3 世代),64GB,B,39800
